aircraft_name,iata_code
Fokker 100,100
British Aerospace BAe 146-100,141
British Aerospace BAe 146-200,142
British Aerospace BAe 146-300,143
British Aerospace BAe 146,146
British Aerospace BAe 146 Freighter,14F
British Aerospace BAe 146-100QT/QC,14X
British Aerospace BAe 146-200QT/QC,14Y
British Aerospace BAe 146-300QT/QC,14Z
Airbus Industrie A310,310
Airbus Industrie A310-200,312
Airbus Industrie A310-300,313
Airbus Industrie A318,318
Airbus Industrie A319,319
Airbus Industrie A310 Freighter,31F
Airbus Industrie A310-200 Freighter,31X
Airbus Industrie A310-300 Freighter,31Y
Airbus Industrie A320,320
Airbus Industrie A321,321
Airbus Industrie A318/319/320/321,32S
Airbus Industrie A330,330
Airbus Industrie A330-200,332
Airbus Industrie A330-300,333
Airbus Industrie A340,340
Airbus Industrie A340-200,342
Airbus Industrie A340-300,343
Airbus Industrie A340-500,345
Airbus Industrie A340-600,346
Airbus Industrie A380,380
Airbus Industrie A380-800,388
Airbus Industrie A380 Freighter,38F
Boeing 707-300,703
Boeing 707/720,707
Boeing 707-300 Freighter,70F
Boeing 707-300 Combi,70M
Boeing 717-200,717
Boeing 727-100,721
Boeing 727-200,722
Boeing 727,727
Boeing 727-200 Advanced,72A
Boeing 727-100 Combi,72B
Boeing 727-200 Combi,72C
Boeing 727 Freighter,72F
Boeing 727 Combi,72M
Boeing 727-200,72S
Boeing 727-100 Freighter,72X
Boeing 727-200 Freighter,72Y
Boeing 737-100,731
Boeing 737-200,732
Boeing 737-300,733
Boeing 737-400,734
Boeing 737-500,735
Boeing 737-600,736
Boeing 737,737
Boeing 737-800,738
Boeing 737-900,739
Boeing 737-200/200C Advanced,73A
Boeing 737-300,73C
Boeing 737-900ER,73E
Boeing 737 Freighter,73F
Boeing 737-700,73G
Boeing 737-800 With Winglets,73H
Boeing 737-900 With Winglets,73J
Boeing 737-200 Combi,73M
Boeing 737-300 Mixed Config,73N
Boeing 737-400 Freighter,73P
Boeing 737-400 Mixed Config,73Q
Boeing 737 Advanced,73S
Boeing 737-700 With Winglets,73W
Boeing 737-200 Freighter,73X
Boeing 737-300 Freighter,73Y
Boeing 747-100,741
Boeing 747-200,742
Boeing 747-300 (including -100SUD and -200SUD),743
Boeing 747-400,744
Boeing 747,747
Boeing 747-200 Combi,74C
Boeing 747-300 Combi (including -200SUD),74D
Boeing 747-400 Combi,74E
Boeing 747 Freighter,74F
Boeing 747-400 Domestic,74J
Boeing 747SP,74L
Boeing 747 Combi,74M
Boeing 747-100 Freighter,74T
Boeing 747-300 Freighter,74U
Boeing 747SR Freighter,74V
Boeing 747-200 Freighter,74X
Boeing 747-400 Freighter,74Y
Boeing 757-200,752
Boeing 757-300,753
Boeing 757,757
Boeing 757-200 Freighter,75F
Boeing 757-200 Combi,75M
Boeing 757-200 With Winglets,75W
Boeing 767-200,762
Boeing 767-300,763
Boeing 767-400,764
Boeing 767,767
Boeing 767 Freighter,76F
Boeing 767-200 Freighter,76X
Boeing 767-300 Freighter,76Y
Boeing 777-200/200ER,772
Boeing 777-300,773
Boeing 777,777
Boeing 777-200LR,77L
Boeing 777-300ER,77W
Antonov An-26,A26
Antonov An-28,A28
Antonov An-30,A30
Antonov An-32,A32
Antonov An-140,A40
Antonov An-124 Ruslan,A4F
Antonov An-148-100,A81
Airbus Industrie A300,AB3
Airbus Industrie A300B2/B4/C4,AB4
Airbus Industrie A300-600,AB6
Airbus Industrie A300-600ST Beluga,ABB
Airbus Industrie A300 Freighter,ABF
Airbus Industrie A300B4/C4/F4 Freighter,ABX
Airbus Industrie A300-600 Freighter,ABY
Twin Aero Commander/Turbo/Jetprop,ACD
Agusta A109,AGH
Antonov An-24,AN4
Antonov An-26/30/32,AN6
Antonov An-72/74,AN7
Antonov An-12,ANF
Avro RJ100 Avroliner,AR1
Avro RJ70 Avroliner,AR7
Avro RJ85 Avroliner,AR8
Avro RJ Avroliner,ARJ
Avro RJX,ARX
Aerospatiale/Alenia ATR 42-300/320,AT4
Aerospatiale/Alenia ATR 42-500,AT5
Aerospatiale/Alenia ATR 72,AT7
British Aerospace ATP,ATP
Aerospatiale/Alenia ATR,ATR
Avro RJX100,AX1
Avro RJX85,AX8
British Aerospace BAC One Eleven,B11
British Aerospace BAC One Eleven 200,B12
British Aerospace BAC One Eleven 300,B13
British Aerospace BAC One Eleven 400,B14
British Aerospace BAC One Eleven 500,B15
Boeing 720B,B72
Beechcraft Beech 1900,BE1
Beechcraft twin piston,BE2
Beechcraft Airliner 99,BE9
Beechcraft Light Aircraft,BEC
Beechcraft Beech 1900D,BEH
Beechcraft Beech 1900C,BES
Beechcraft Light Aircraft Twin Prop,BET
Bell Helicopters,BH2
Pilatus Britten-Norman BN-2A/B,BNI
Pilatus Britten-Norman BN-2A Trislander,BNT
Non Aircraft - Bus,BUS
Canadair Challenger,CCJ
Government Aircraft Factories N22B/N24A Nomad,CD2
Cessna light aircraft - single piston engine,CN1
Cessna Light Aircraft,CNA
Cessna light aircraft - single turboprop engine,CNC
Cessna Citation,CNJ
Cessna light aircraft - twin turboprop engines,CNT
Canadair Regional Jet 100,CR1
Canadair Regional Jet 200,CR2
Canadair Regional Jet 700,CR7
Canadair Regional Jet 900,CR9
Canadair Regional Jet 705,CRA
Canadair Regional Jet,CRJ
Aerospatiale/SUD SE210 Caravelle,CRV
CASA/IPTN CN-212 Aviocar,CS2
CASA/IPTN CN-235,CS5
Convair 580,CV5
Convair 580/600/640 Freighter,CVF
Convair 240/440/580,CVR
Curtiss C-46 Commando,CWC
Boeing/McDonnell Douglas DC-10,D10
Boeing/McDonnell Douglas DC-10-10/15,D11
Boeing/McDonnell Douglas DC-10-30/40,D1C
Boeing/McDonnell Douglas DC-10 Freighter,D1F
Boeing/McDonnell Douglas DC-10-10 Freighter,D1X
Boeing/McDonnell Douglas DC-10-30/40 Freighter,D1Y
Fairchild Dornier Do-228,D28
Fairchild Dornier Do-328,D38
Boeing/Douglas DC-3 Freighter,D3F
Boeing/Douglas DC-6A/B/C Freighter,D6F
Boeing/McDonnell Douglas DC-8 Freighter,D8F
Boeing/McDonnell Douglas DC-8-62,D8L
Boeing/McDonnell Douglas DC-8 Combi,D8M
Boeing/McDonnell Douglas DC-8-72,D8Q
Boeing/McDonnell Douglas DC-8-50 Freighter,D8T
Boeing/McDonnell Douglas DC-8-61/62/63 Freighter,D8X
Boeing/McDonnell Douglas DC-8-71/72/73 Freighter,D8Y
Boeing/McDonnell Douglas DC-9-10,D91
Boeing/McDonnell Douglas DC-9-20,D92
Boeing/McDonnell Douglas DC-9-30,D93
Boeing/McDonnell Douglas DC-9-40,D94
Boeing/McDonnell Douglas DC-9-50,D95
Boeing/McDonnell Douglas DC-9-30 Freighter,D9C
Boeing/McDonnell Douglas DC-9-40 Freighter,D9F
Boeing/McDonnell Douglas DC-9-30/40/50,D9S
Boeing/McDonnell Douglas DC-9-10 Freighter,D9X
Boeing/Douglas DC-3,DC3
Boeing/Douglas DC-6,DC6
Boeing/McDonnell Douglas DC-8,DC8
Boeing/McDonnell Douglas DC-9,DC9
Boeing/McDonnell Douglas DC-9 Freighter,DCF
De Havilland Canada DHC-8-100 Dash 8/8Q,DH1
De Havilland Canada DHC-8-200 Dash 8/8Q,DH2
De Havilland Canada DHC-8-300 Dash 8/8Q,DH3
De Havilland Canada DHC-8-400 Dash 8/8Q,DH4
De Havilland Canada DHC-7 Dash 7,DH7
De Havilland Canada DHC-8 Dash 8 All S.,DH8
De Havilland Canada DHC-4 Caribou,DHC
De Havilland Canada DHC-3 Turbo Otter,DHL
De Havilland Canada DHC-2 Beaver,DHP
De Havilland Canada DHC-3 Otter,DHS
De Havilland Canada DHC-6 Twin Otter,DHT
Embraer ERJ-170,E70
Embraer ERJ-175,E75
Embraer ERJ-190,E90
Embraer ERJ-195,E95
Embraer EMB-120 Brasilia,EM2
Embraer E190,EM9
Embraer EMB-110 Bandeirante,EMB
Embraer ERJ-170/190,EMJ
Embraer ERJ-135 Regional Jet,ER3
Embraer ERJ-145 Regional Jet,ER4
Embraer ERJ-140 Regional Jet,ERD
Embraer ERJ-135/140/145 Regional Jet,ERJ
Fokker F28 Fellowship 1000,F21
Fokker F28 Fellowship 2000,F22
Fokker F28 Fellowship 3000,F23
Fokker F28 Fellowship 4000,F24
Fokker F27 Friendship/Fairchild F27,F27
Fokker F28 Fellowship,F28
Fokker 50,F50
Fokker 70,F70
Fairchild Dornier 728JET,FA7
Fairchild FH227,FK7
Fairchild Dornier 328JET,FRJ
Grumman G-21 Goose,GRG
Grumman G-73 Turbo Mallard,GRM
Helio H-250 Courier/H-295/395 Super Courier,HEC
British Aerospace/Hawker Siddeley HS748,HS7
Ilyushin IL-114,I14
Ilyushin IL-96-300,I93
Ilyushin IL-96 Freighter,I9F
Ilyushin IL-96M,I9M
Ilyushin IL-96T,I9Y
Ilyushin IL-62,IL6
Ilyushin IL-76,IL7
Ilyushin IL-18,IL8
Ilyushin IL-96,IL9
Ilyushin IL-86,ILW
British Aerospace Jetstream 31,J31
British Aerospace Jetstream 32,J32
British Aerospace Jetstream 41,J41
British Aerospace Jetstream 31/32/41,JST
Junkers Ju52,JU5
Lockheed L-1011 Tristar,L10
Lockheed L-1011-1/50/100/150/200/250,L11
Lockheed L-1011-500 Tristar,L15
Lockheed L-1011 Tristar Freighter,L1F
Let 410 Turbolet,L4T
Non Aircraft - Launch/Boat,LCH
Non Aircraft - Limousine,LMO
Lockheed L-188 Electra,LOE
Lockheed L-100 Hercules,LOH
Learjet,LRJ
Boeing/McDonnell Douglas MD-11,M11
Boeing/McDonnell Douglas MD-11 Freighter,M1F
Boeing/McDonnell Douglas MD-11 Combi,M1M
Boeing/McDonnell Douglas MD-80,M80
Boeing/McDonnell Douglas MD-81,M81
Boeing/McDonnell Douglas MD-82,M82
Boeing/McDonnell Douglas MD-83,M83
Boeing/McDonnell Douglas MD-87,M87
Boeing/McDonnell Douglas MD-88,M88
Boeing/McDonnell Douglas MD-90,M90
Mil,MIH
Mitsubishi MU-2,MU2
Aerospatiale/Nord 262,ND2
Aerospatiale SN601 Corvette,NDC
Aerospatiale/Eurocopter Ecureuil AS350/AS355,NDE
Piper light aircraft - single piston engine,PA1
Piper light aircraft - twin piston engines,PA2
Piper Light Aircraft,PAG
Pilatus PC-12,PL2
Partenavia P68,PN6
Saab 2000,S20
Sikorsky S-58T,S58
Sikorsky S-61,S61
Sikorsky S-76,S76
Saab SF-340,SF3
Saab SF-340B,SFB
Shorts SD-330,SH3
Shorts SD-360,SH6
Aerospatiale/British Aerospace Concorde (discontinued),SSC
Fairchild Metro/Merlin,SWM
Tupolev Tu-204/214,T20
Non Aircraft - Train,TRN
Tupolev Tu-134,TU3
Tupolev Tu-154,TU5
Vickers Viscount,VCV
Israel Aircraft Industries 1124 Westwind,WWP
Yakovlev Yak-42,YK2
Yakovlev Yak-40,YK4
Yunshuji Y-12/Xian Y-12,YN2
Yunshuji Y-7/Harbin Y-7,YN7
NAMC YS-11,YS1
Airbus A350-100,350
Airbus A330-200,330
Boeing B787-900,787
