airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Anaa,AAA,NTGA,-17.05,-145.41667,-10,PF
Arrabury,AAB,YARY,-26.7,141.04167,10,AU
El Arish International Airport,AAC,HEAR,31.133333,33.75,2,EG
Les Salines,AAE,DABB,36.821392,7.811857,1,DZ
Apalachicola Regional,AAF,KAAF,29.733334,-84.98333,-5,US
Arapoti,AAG,SSYA,-24.103611,-49.79,-3,BR
Aachen/Merzbruck,AAH,EDKA,50.75,6.133333,1,DE
Arraias,AAI,SWRA,-12.916667,-46.933334,-3,BR
Aranuka,AAK,NGUK,0.166667,173.58333,12,KI
Aalborg,AAL,EKYT,57.08655,9.872241,1,DK
Mala Mala,AAM,FAMD,-24.8,31.533333,2,ZA
Al Ain,AAN,OMAL,24.260231,55.616627,4,AE
Anapa,AAQ,URKA,44.9,37.316666,3,RU
Aarhus Airport,AAR,EKAH,56.30823,10.626351,1,DK
Altay,AAT,ZWAT,47.750362,88.08444,8,CN
Araxa,AAX,SBAX,-19.568056,-46.92917,-3,BR
Al Ghaydah,AAY,OYGD,16.19596,52.173256,3,YE
Quetzaltenango,AAZ,MGQZ,14.87,-91.5,-6,GT
Abakan,ABA,UNAA,53.716667,91.5,7,RU
Asaba International,ABB,DNAS,6.203333,6.65888,1,NG
Los Llanos,ABC,LEAB,38.948334,-1.863333,1,ES
Abadan,ABD,OIAA,30.363905,48.226597,3.30,IR
Lehigh Valley International,ABE,KABE,40.651573,-75.434364,-5,US
Alpha,ABH,YAPH,-23.65,146.63333,10,AU
Municipal,ABI,KABI,32.409443,-99.679726,-6,US
Felix Houphouet Boigny,ABJ,DIAP,5.254879,-3.933015,,CI
Kabri Dar,ABK,HADK,6.733889,44.26611,3,ET
Ambler,ABL,PAFM,67.0875,-157.84584,-9,US
Bamaga Injinoo,ABM,YBAM,-10.942619,142.45033,10,AU
Aboisso,ABO,DIAO,5.433333,-3.216667,,CI
Albuquerque International,ABQ,KABQ,35.049625,-106.617195,-7,US
Municipal,ABR,KABR,45.4525,-98.42611,-6,US
Abu Simbel,ABS,HEBL,22.367567,31.609774,2,EG
Al-Aqiq,ABT,OEBA,20.29401,41.64002,3,SA
Atambua,ABU,WATA,-9.133333,124.88333,8,ID
Nnamdi Azikiwe International Airport,ABV,DNAA,9.004614,7.270447,1,NG
Albury,ABX,YMAY,-36.069626,146.95453,10,AU
Dougherty County,ABY,KABY,31.532223,-84.19611,-5,US
Dyce,ABZ,EGPD,57.200253,-2.204186,,GB
General Juan N. Alvarez International,ACA,MMAA,16.762403,-99.75459,-6,MX
Antrim County,ACB,KACB,44.983334,-85.21667,-5,US
Kotoka,ACC,DGAA,5.60737,-0.171769,,GH
Acandi,ACD,SKAD,8.516667,-77.3,-5,CO
Lanzarote,ACE,GCRR,28.950668,-13.609059,,ES
Altenrhein,ACH,LSZR,47.483334,9.566667,1,CH
The Blaye,ACI,EGJA,49.709347,-2.215369,,GG
Anuradhapura,ACJ,VCCA,8.35,80.38333,5.30,LK
Nantucket Memorial,ACK,KACK,41.256668,-70.05972,-5,US
Ciudad Acuña International Airport,ACN,MMCC,29.3,-100.916664,-6,MX
Sahand,ACP,OITM,37.347244,46.145115,3.30,IR
Araracuara,ACR,SKAC,-0.383333,-72.3,-5,CO
Achinsk,ACS,UNKS,56.266666,90.566666,7,RU
Municipal,ACT,KACT,31.609133,-97.22321,-6,US
Arcata,ACV,KACV,40.970913,-124.106926,-8,US
Atlantic City International,ACY,KACY,39.450703,-74.572235,-5,US
Zabol Airport,ACZ,OIZB,31.087694,61.542244,3.30,IR
Adana,ADA,LTAF,36.98503,35.29736,3,TR
Adnan Menderes Airport,ADB,LTBJ,38.294403,27.147594,3,TR
Bole International,ADD,HAAB,8.983759,38.7959,3,ET
Aden International Airport,ADE,OYAA,12.826116,45.037537,3,YE
Adiyaman,ADF,LTCP,37.75,38.266666,3,TR
Lenawee County,ADG,KADG,41.9,-84.03333,-5,US
Aldan,ADH,UEEA,58.6,125.4,9,RU
Arandis,ADI,FYAR,-22.4,15,2,NA
Marka International Airport,ADJ,OJAM,31.97533,35.98277,2,JO
Adak Island Ns,ADK,PADK,51.88278,-176.64473,-10,US
Adelaide International Airport,ADL,YPAD,-34.938175,138.53735,9.30,AU
Ardmore Municipal Airport,ADM,KADM,34.303055,-97.01945,-6,US
Andamooka,ADO,YAMK,-31.016666,137.15,9.30,AU
Kodiak Airport,ADQ,PADQ,57.755276,-152.51297,-9,US
Andrews,ADR,KPHH,33.45,-79.566666,-5,US
Addison Airport,ADS,KADS,32.783333,-97.3,-6,US
Ada Municipal,ADT,KADH,34.8,-96.666664,-6,US
Ardabil,ADU,OITL,38.323826,48.42125,3.30,IR
Leuchars,ADX,EGQL,56.36667,-2.866667,,GB
Alldays,ADY,FAAL,-22.666668,29.05,2,ZA
San Andres Island,ADZ,SKSP,12.586047,-81.70221,-5,CO
Abemama Atoll,AEA,NGTB,0.483333,173.85,12,KI
Aek Godang,AEG,WIME,1.399722,99.416664,7,ID
Abéché,AEH,FTTC,13.851389,20.850834,1,TD
Albert Lea,AEL,KAEL,43.65,-93.36667,-6,US
Aioun El Atrouss,AEO,GQNA,16.709167,-9.635556,,MR
Aeroparque Jorge Newbery,AEP,SABE,-34.55622,-58.41667,-3,AR
Sochi/Adler International Airport,AER,URSS,43.44884,39.941105,3,RU
Vigra,AES,ENAL,62.559643,6.116605,1,NO
Allakaket,AET,PFAL,66.56167,-152.65834,-9,US
Abu Musa,AEU,OIBA,25.8875,55.041668,3.30,IR
Alexandria International,AEX,KAEX,31.321268,-92.53958,-6,US
Akureyri,AEY,BIAR,65.654564,-18.075068,,IS
San Rafael,AFA,SAMR,-34.58917,-68.40056,-3,AR
Port Alfred,AFD,FAPA,-33.583332,26.883333,2,ZA
USAF Academy Airstrip,AFF,KAFF,38.833332,-104.7,-7,US
Amalfi,AFI,SKAM,6.916667,-75.066666,-5,CO
Alta Floresta,AFL,SBAT,-9.872456,-56.104767,-4,BR
Municipal,AFN,KAFN,42.833332,-72.066666,-5,US
Municipal,AFO,KAFO,42.733334,-110.933334,-7,US
Zarafshan,AFS,UTSN,41.61361,64.233055,5,UZ
Afutara Aerodrome,AFT,AGAF,-9.2,160.85,11,SB
Fort Worth Alliance,AFW,KAFW,32.986668,-97.316666,-6,US
Afyon,AFY,LTAH,38.733334,30.6,3,TR
Sabzevar,AFZ,OIMS,36.171513,57.60332,3.30,IR
Agadir Almassira,AGA,GMAD,30.378326,-9.555895,,MA
Augsburg - Muehlhausen,AGB,EDMA,48.425278,10.931667,1,DE
