flight_date,flight_status,departure.iata,departure.scheduled,arrival.iata,arrival.scheduled,flight.number,aircraft
2023-12-08,scheduled,BLR,2023-12-08T01:55:00+00:00,CDG,2023-12-08T08:40:00+00:00,8471,
2023-12-08,active,MEB,2023-12-08T00:30:00+00:00,BWU,2023-12-08T02:35:00+00:00,,
2023-12-08,scheduled,MLE,2023-12-08T00:45:00+00:00,NMF,2023-12-08T01:25:00+00:00,248,
2023-12-08,scheduled,CFS,2023-12-08T08:00:00+00:00,BNE,2023-12-08T07:45:00+00:00,8252,
2023-12-08,scheduled,ICN,2023-12-08T02:50:00+00:00,LAX,2023-12-07T20:11:00+00:00,916,
2023-12-08,scheduled,SGN,2023-12-08T02:50:00+00:00,SZX,2023-12-08T06:30:00+00:00,3874,
2023-12-08,scheduled,SGN,2023-12-08T02:40:00+00:00,ICN,2023-12-08T09:50:00+00:00,4196,
2023-12-08,scheduled,SGN,2023-12-08T02:40:00+00:00,ICN,2023-12-08T09:50:00+00:00,4862,
2023-12-08,scheduled,SGN,2023-12-08T02:40:00+00:00,ICN,2023-12-08T09:50:00+00:00,2862,
2023-12-08,scheduled,SGN,2023-12-08T02:00:00+00:00,ICN,2023-12-08T09:20:00+00:00,9909,
2023-12-08,scheduled,SGN,2023-12-08T01:30:00+00:00,ICN,2023-12-08T08:30:00+00:00,5880,
2023-12-08,scheduled,SGN,2023-12-08T01:20:00+00:00,KIX,2023-12-08T08:30:00+00:00,4244,
2023-12-08,scheduled,WLG,2023-12-08T06:00:00+00:00,MEL,2023-12-08T08:05:00+00:00,253,
2023-12-08,scheduled,ICN,2023-12-08T04:20:00+00:00,YNZ,2023-12-08T05:55:00+00:00,9074,
2023-12-08,scheduled,ICN,2023-12-08T05:00:00+00:00,WEH,2023-12-08T05:00:00+00:00,9822,
2023-12-08,scheduled,DUD,2023-12-08T09:45:00+00:00,AKL,2023-12-08T11:35:00+00:00,3298,
2023-12-08,scheduled,BOM,2023-12-08T02:15:00+00:00,KWI,2023-12-08T04:20:00+00:00,302,
2023-12-08,scheduled,AKL,2023-12-08T06:45:00+00:00,ZQN,2023-12-08T08:40:00+00:00,7976,
2023-12-08,scheduled,HKT,2023-12-08T00:35:00+00:00,DOH,2023-12-08T04:00:00+00:00,8210,
2023-12-08,scheduled,HGH,2023-12-08T02:20:00+00:00,HKG,2023-12-08T04:45:00+00:00,9055,
2023-12-08,scheduled,HGH,2023-12-08T03:10:00+00:00,PEK,2023-12-08T05:20:00+00:00,7979,
2023-12-08,scheduled,NTL,2023-12-08T07:10:00+00:00,BNE,2023-12-08T07:40:00+00:00,7652,
